11,BNAI,UAVS,HYPR,OGEN,ZONE,PSTV,NVVE,CDT,RVYL,PCSA,BURU


8,RSLS,KPRX,TRAW,EYEN,REVB,SOAR,SGD,CDT


10,STSS,HOTH,CLRB,BURU,WHLR,MODV,TGL,SXTP,REVB,CDT


9,MODV,TBH,EYEN,CTNT,PHIO,SILO,TGL,AMIX,HSDT


9,EYEN,BJDX,AYTU,BNAI,VEEE,HSDT,OBLG,MULN,NCL


